time_local,issue_date,horizon_h,plant_p50,plant_p10,plant_p90,plant_mean,T1_p50,T1_p10,T1_p90,T1_mean,T2_p50,T2_p10,T2_p90,T2_mean
2026-02-02 00:00:00,2026-02-01,14.0,0.1532,0.0176,0.5233,0.2094,0.1676,0.0364,0.5788,0.2097,0.1592,0.0254,0.5139,0.1877
2026-02-02 01:00:00,2026-02-01,15.0,0.3169,0.057,0.5831,0.3091,0.3117,0.0804,0.6748,0.3031,0.2612,0.0601,0.6101,0.2874
2026-02-02 02:00:00,2026-02-01,16.0,0.3867,0.1051,0.6557,0.3253,0.4048,0.1233,0.7302,0.3549,0.3313,0.1004,0.6827,0.3294
2026-02-02 03:00:00,2026-02-01,17.0,0.3671,0.133,0.735,0.4161,0.4083,0.1383,0.8207,0.4119,0.3282,0.1451,0.7481,0.3891
2026-02-02 04:00:00,2026-02-01,18.0,0.4534,0.1918,0.7964,0.4701,0.4974,0.217,0.8374,0.4866,0.405,0.1721,0.7993,0.4474
2026-02-02 05:00:00,2026-02-01,19.0,0.5167,0.2088,0.8649,0.4931,0.521,0.223,0.8751,0.4884,0.4455,0.1865,0.8501,0.4509
2026-02-02 06:00:00,2026-02-01,20.0,0.3799,0.186,0.8573,0.3722,0.3665,0.2125,0.8719,0.3572,0.3508,0.1524,0.8385,0.3744
2026-02-02 07:00:00,2026-02-01,21.0,0.3493,0.1844,0.8767,0.3699,0.3633,0.211,0.8979,0.3477,0.3241,0.1626,0.8622,0.3552
2026-02-02 08:00:00,2026-02-01,22.0,0.3767,0.1896,0.8963,0.3568,0.3957,0.2074,0.9186,0.3655,0.375,0.1793,0.9088,0.3745
2026-02-02 09:00:00,2026-02-01,23.0,0.4981,0.2712,0.931,0.4903,0.504,0.2778,0.9416,0.4865,0.5071,0.2493,0.9283,0.4657
2026-02-02 10:00:00,2026-02-01,24.0,0.5699,0.2325,0.93,0.5662,0.5553,0.2739,0.9571,0.5467,0.5735,0.2405,0.9417,0.5434
2026-02-02 11:00:00,2026-02-01,25.0,0.6972,0.3009,0.9715,0.686,0.6836,0.3306,0.9708,0.6605,0.7009,0.3366,0.963,0.672
2026-02-02 12:00:00,2026-02-01,26.0,0.8719,0.4209,0.9816,0.8071,0.8661,0.4386,0.9864,0.83,0.8945,0.4109,0.9729,0.812
2026-02-02 13:00:00,2026-02-01,27.0,0.8793,0.5552,0.9916,0.8164,0.8751,0.5906,0.9933,0.8246,0.8863,0.5907,0.9821,0.8356
2026-02-02 14:00:00,2026-02-01,28.0,0.9325,0.6091,0.9904,0.8557,0.941,0.5925,0.9981,0.8894,0.9389,0.6213,0.9861,0.8812
2026-02-02 15:00:00,2026-02-01,29.0,0.9159,0.4829,0.9894,0.8315,0.9085,0.4834,0.9934,0.8644,0.914,0.5479,0.9853,0.8594
2026-02-02 16:00:00,2026-02-01,30.0,0.8651,0.4285,0.9861,0.7927,0.8341,0.4487,0.9869,0.8153,0.8838,0.5005,0.9737,0.8117
2026-02-02 17:00:00,2026-02-01,31.0,0.7131,0.2407,0.9871,0.6971,0.6604,0.271,0.9832,0.6921,0.699,0.2589,0.9787,0.7195
2026-02-02 18:00:00,2026-02-01,32.0,0.3995,0.0339,0.887,0.4926,0.4318,0.0369,0.9077,0.4994,0.3867,0.0206,0.9134,0.5087
2026-02-02 19:00:00,2026-02-01,33.0,0.2922,0.002,0.6206,0.3176,0.2625,0.0082,0.6705,0.3384,0.2034,0.0,0.6561,0.3579
2026-02-02 20:00:00,2026-02-01,34.0,0.1587,0.0,0.3672,0.1567,0.1788,0.0011,0.416,0.1578,0.1307,0.0,0.4089,0.157
2026-02-02 21:00:00,2026-02-01,35.0,0.0948,0.0,0.2816,0.1203,0.1172,0.0004,0.3596,0.1098,0.0798,0.0,0.2788,0.1038
2026-02-02 22:00:00,2026-02-01,36.0,0.1085,0.0,0.2662,0.1307,0.1278,0.0045,0.3856,0.1291,0.1102,0.0,0.28,0.13
2026-02-02 23:00:00,2026-02-01,37.0,0.1363,0.0,0.3226,0.1535,0.136,0.0038,0.3972,0.1316,0.1357,0.0,0.2908,0.1342
2026-02-03 00:00:00,2026-02-02,14.0,0.134,0.0,0.3387,0.1384,0.1504,0.0047,0.3974,0.1491,0.1345,0.0009,0.3536,0.1441
2026-02-03 01:00:00,2026-02-02,15.0,0.1812,0.0186,0.5617,0.2172,0.2338,0.031,0.5787,0.2139,0.1869,0.029,0.5276,0.236
2026-02-03 02:00:00,2026-02-02,16.0,0.2839,0.084,0.6929,0.3985,0.3254,0.1065,0.7358,0.3665,0.3245,0.0848,0.7285,0.3545
2026-02-03 03:00:00,2026-02-02,17.0,0.4636,0.146,0.797,0.5198,0.5232,0.1705,0.8655,0.5299,0.4521,0.1444,0.8095,0.489
2026-02-03 04:00:00,2026-02-02,18.0,0.4187,0.1569,0.8499,0.4348,0.4603,0.1927,0.8842,0.4385,0.3765,0.1223,0.8505,0.4253
2026-02-03 05:00:00,2026-02-02,19.0,0.3489,0.0905,0.8052,0.3705,0.413,0.1256,0.8185,0.3672,0.3348,0.076,0.8077,0.4122
2026-02-03 06:00:00,2026-02-02,20.0,0.2858,0.0217,0.6487,0.2652,0.2774,0.0379,0.7105,0.2649,0.2364,0.023,0.6537,0.2404
2026-02-03 07:00:00,2026-02-02,21.0,0.1436,0.0006,0.4896,0.1543,0.1343,0.0144,0.5716,0.1757,0.1345,0.0035,0.5015,0.1447
2026-02-03 08:00:00,2026-02-02,22.0,0.1041,0.0,0.4751,0.1434,0.0924,0.0007,0.5105,0.1719,0.0958,0.0,0.4769,0.1538
2026-02-03 09:00:00,2026-02-02,23.0,0.0676,0.0,0.3006,0.0869,0.1073,0.0005,0.3109,0.0936,0.0652,0.0,0.2641,0.0846
2026-02-03 10:00:00,2026-02-02,24.0,0.0408,0.0,0.2118,0.0687,0.0598,0.0,0.2873,0.0682,0.0444,0.0,0.1916,0.0702
2026-02-03 11:00:00,2026-02-02,25.0,0.0529,0.0,0.2159,0.0837,0.0428,0.0,0.2207,0.0703,0.0409,0.0,0.2177,0.0909
2026-02-03 12:00:00,2026-02-02,26.0,0.0637,0.0,0.3134,0.1441,0.0589,0.0008,0.3413,0.1453,0.0604,0.0,0.3462,0.1506
2026-02-03 13:00:00,2026-02-02,27.0,0.0878,0.0,0.2514,0.106,0.0756,0.0,0.2126,0.0979,0.0691,0.0,0.2346,0.1037
2026-02-03 14:00:00,2026-02-02,28.0,0.0439,0.0,0.2179,0.1015,0.0705,0.0,0.2171,0.0961,0.0694,0.0,0.2418,0.0984
2026-02-03 15:00:00,2026-02-02,29.0,0.0591,0.0,0.2514,0.1025,0.0768,0.0,0.2544,0.1013,0.0669,0.0,0.2636,0.1086
2026-02-03 16:00:00,2026-02-02,30.0,0.1216,0.0,0.4426,0.1743,0.1082,0.0,0.4733,0.1655,0.1222,0.0,0.463,0.166
2026-02-03 17:00:00,2026-02-02,31.0,0.1512,0.0,0.5511,0.2424,0.178,0.0,0.5474,0.2247,0.153,0.0,0.5476,0.2151
2026-02-03 18:00:00,2026-02-02,32.0,0.2742,0.0,0.7049,0.3686,0.3181,0.002,0.7366,0.3532,0.2759,0.0,0.696,0.3213
2026-02-03 19:00:00,2026-02-02,33.0,0.3741,0.0,0.7371,0.4259,0.37,0.0104,0.7994,0.4282,0.3486,0.0041,0.7804,0.4213
2026-02-03 20:00:00,2026-02-02,34.0,0.3242,0.0,0.7276,0.4219,0.3337,0.0071,0.774,0.4412,0.3439,0.0045,0.782,0.4212
2026-02-03 21:00:00,2026-02-02,35.0,0.3129,0.0,0.7481,0.4026,0.3403,0.0089,0.783,0.4255,0.3214,0.0057,0.7998,0.3954
2026-02-03 22:00:00,2026-02-02,36.0,0.2537,0.0,0.7378,0.3624,0.263,0.0081,0.7565,0.3898,0.2714,0.0011,0.7395,0.363
2026-02-03 23:00:00,2026-02-02,37.0,0.2244,0.0,0.6908,0.3303,0.2244,0.0073,0.7612,0.3347,0.2607,0.0,0.7382,0.3294
2026-02-04 00:00:00,2026-02-03,14.0,0.558,0.085,0.901,0.5525,0.5715,0.0979,0.8886,0.5553,0.557,0.0691,0.8851,0.5629
2026-02-04 01:00:00,2026-02-03,15.0,0.5904,0.0787,0.9187,0.5887,0.5742,0.1048,0.8798,0.5829,0.5743,0.0839,0.8879,0.58
2026-02-04 02:00:00,2026-02-03,16.0,0.5058,0.0596,0.8681,0.4975,0.5108,0.0651,0.862,0.5186,0.5098,0.0668,0.8585,0.5135
2026-02-04 03:00:00,2026-02-03,17.0,0.5009,0.0465,0.8653,0.4417,0.4578,0.0486,0.8277,0.482,0.4384,0.0581,0.8578,0.4577
2026-02-04 04:00:00,2026-02-03,18.0,0.4949,0.0542,0.8477,0.445,0.5017,0.0638,0.8419,0.4833,0.4711,0.0657,0.8546,0.4795
2026-02-04 05:00:00,2026-02-03,19.0,0.4312,0.0326,0.8246,0.3928,0.4348,0.0395,0.8335,0.4269,0.4187,0.041,0.8273,0.4357
2026-02-04 06:00:00,2026-02-03,20.0,0.4374,0.043,0.8242,0.4205,0.433,0.0414,0.8364,0.4245,0.4094,0.0526,0.811,0.4132
2026-02-04 07:00:00,2026-02-03,21.0,0.5101,0.0604,0.8625,0.4655,0.4971,0.088,0.8885,0.4859,0.4983,0.0688,0.8733,0.4533
2026-02-04 08:00:00,2026-02-03,22.0,0.4989,0.053,0.8594,0.4891,0.4909,0.0651,0.867,0.5123,0.484,0.0668,0.8477,0.5039
2026-02-04 09:00:00,2026-02-03,23.0,0.4311,0.0332,0.7988,0.4257,0.3923,0.0297,0.8194,0.426,0.4218,0.056,0.8124,0.4335
2026-02-04 10:00:00,2026-02-03,24.0,0.2953,0.0233,0.7315,0.3569,0.3091,0.0144,0.7732,0.3532,0.3271,0.0328,0.7464,0.4012
2026-02-04 11:00:00,2026-02-03,25.0,0.2337,0.0009,0.7197,0.3105,0.2591,0.0069,0.7269,0.3228,0.284,0.0055,0.712,0.3654
2026-02-04 12:00:00,2026-02-03,26.0,0.2346,0.0,0.7009,0.3152,0.2359,0.0111,0.7185,0.3305,0.2777,0.0026,0.72,0.3238
2026-02-04 13:00:00,2026-02-03,27.0,0.2188,0.0,0.6509,0.2889,0.2168,0.0073,0.6763,0.3135,0.2473,0.0027,0.6838,0.3023
2026-02-04 14:00:00,2026-02-03,28.0,0.1971,0.0,0.5642,0.2728,0.2106,0.005,0.5927,0.2937,0.2406,0.0015,0.6083,0.315
2026-02-04 15:00:00,2026-02-03,29.0,0.1972,0.0,0.5249,0.2716,0.1945,0.0014,0.5785,0.2876,0.244,0.0004,0.5911,0.308
2026-02-04 16:00:00,2026-02-03,30.0,0.1728,0.0,0.4995,0.2238,0.1775,0.0,0.5281,0.2195,0.2208,0.0006,0.5456,0.2234
2026-02-04 17:00:00,2026-02-03,31.0,0.0933,0.0,0.3479,0.1601,0.0897,0.0008,0.3553,0.1397,0.109,0.0,0.4156,0.1826
2026-02-04 18:00:00,2026-02-03,32.0,0.0519,0.0,0.2935,0.131,0.0598,0.0,0.2886,0.1224,0.0555,0.0,0.3846,0.1483
2026-02-04 19:00:00,2026-02-03,33.0,0.0769,0.0,0.342,0.1299,0.0771,0.001,0.39,0.1133,0.0548,0.0,0.4401,0.1258
2026-02-04 20:00:00,2026-02-03,34.0,0.3022,0.0,0.6713,0.349,0.2405,0.0044,0.7139,0.3451,0.28,0.0024,0.6235,0.3598
2026-02-04 21:00:00,2026-02-03,35.0,0.531,0.0893,0.7888,0.5898,0.4491,0.0941,0.8255,0.5651,0.4921,0.1,0.8319,0.5451
2026-02-04 22:00:00,2026-02-03,36.0,0.6122,0.1814,0.9325,0.641,0.6479,0.1902,0.954,0.6691,0.5907,0.1863,0.9249,0.6368
2026-02-04 23:00:00,2026-02-03,37.0,0.7836,0.2646,0.9712,0.7536,0.795,0.3149,0.9793,0.7786,0.7516,0.2776,0.9803,0.7673
2026-02-05 00:00:00,2026-02-04,14.0,0.9139,0.5044,0.9918,0.8611,0.9017,0.545,0.9972,0.8799,0.9549,0.4993,0.9988,0.858
2026-02-05 01:00:00,2026-02-04,15.0,0.9734,0.679,1.0,0.9013,0.9275,0.7292,1.0,0.9122,0.9876,0.7508,1.0,0.9414
2026-02-05 02:00:00,2026-02-04,16.0,0.9737,0.7216,1.0,0.9314,0.974,0.7096,1.0,0.9516,0.9777,0.7621,0.9952,0.9585
2026-02-05 03:00:00,2026-02-04,17.0,0.9742,0.8205,1.0,0.9557,0.9803,0.8106,0.9997,0.9735,0.9771,0.8636,1.0,0.9759
2026-02-05 04:00:00,2026-02-04,18.0,0.9734,0.916,1.0,0.9534,0.9832,0.9548,0.9997,0.9698,0.9786,0.9459,0.9938,0.9551
2026-02-05 05:00:00,2026-02-04,19.0,0.9763,0.9566,1.0,0.9736,0.983,0.9551,0.9994,0.9825,0.9759,0.9609,0.9924,0.9783
2026-02-05 06:00:00,2026-02-04,20.0,0.9772,0.9579,0.9999,0.9787,0.9834,0.9656,0.9995,0.99,0.9739,0.9573,0.9907,0.9701
2026-02-05 07:00:00,2026-02-04,21.0,0.9835,0.9611,1.0,0.9765,0.9833,0.9713,0.9995,0.99,0.9809,0.9662,0.995,0.9749
2026-02-05 08:00:00,2026-02-04,22.0,0.9788,0.9334,1.0,0.9721,0.9831,0.9615,0.9995,0.9942,0.9819,0.9571,0.9946,0.9697
2026-02-05 09:00:00,2026-02-04,23.0,0.9825,0.9587,1.0,0.979,0.9862,0.9693,0.999,1.0,0.9798,0.9538,0.9945,0.9782
2026-02-05 10:00:00,2026-02-04,24.0,0.9809,0.9553,1.0,0.9825,0.9865,0.9727,1.0,0.9991,0.979,0.9481,0.9944,0.9707
2026-02-05 11:00:00,2026-02-04,25.0,0.9805,0.9433,0.9987,0.9817,0.9894,0.9748,1.0,1.0,0.9741,0.958,0.9936,0.9755
2026-02-05 12:00:00,2026-02-04,26.0,0.9829,0.9642,1.0,0.9869,0.9901,0.9794,1.0,1.0,0.9761,0.9635,0.9953,0.9826
2026-02-05 13:00:00,2026-02-04,27.0,0.982,0.9635,1.0,0.9835,0.9901,0.9794,1.0,0.9913,0.9766,0.9626,0.9972,0.9835
2026-02-05 14:00:00,2026-02-04,28.0,0.9809,0.9536,0.9989,0.9642,0.9896,0.9465,1.0,0.9675,0.9759,0.9398,0.9907,0.972
2026-02-05 15:00:00,2026-02-04,29.0,0.9807,0.9287,1.0,0.962,0.9883,0.9459,1.0,0.9743,0.9751,0.9351,0.9909,0.9674
2026-02-05 16:00:00,2026-02-04,30.0,0.9803,0.9155,0.999,0.9644,0.9878,0.8946,1.0,0.9632,0.9835,0.9276,0.9975,0.9652
2026-02-05 17:00:00,2026-02-04,31.0,0.9742,0.7666,0.9985,0.9498,0.9839,0.7579,1.0,0.9317,0.9731,0.8265,0.991,0.9504
2026-02-05 18:00:00,2026-02-04,32.0,0.9804,0.5847,1.0,0.8979,0.9299,0.5397,1.0,0.9083,0.9393,0.5686,0.9923,0.9081
2026-02-05 19:00:00,2026-02-04,33.0,0.9101,0.4641,0.9881,0.8665,0.8582,0.4195,1.0,0.8554,0.8844,0.4413,0.9821,0.8795
2026-02-05 20:00:00,2026-02-04,34.0,0.8507,0.4204,0.9918,0.8273,0.8777,0.3856,0.9977,0.8255,0.8665,0.386,0.9641,0.8437
2026-02-05 21:00:00,2026-02-04,35.0,0.8183,0.3721,0.9777,0.8481,0.8256,0.3703,0.9849,0.8498,0.8214,0.3508,0.9626,0.8484
2026-02-05 22:00:00,2026-02-04,36.0,0.7749,0.3093,0.977,0.7971,0.781,0.3497,0.9684,0.8106,0.756,0.2751,0.9659,0.7968
2026-02-05 23:00:00,2026-02-04,37.0,0.6378,0.2247,0.9392,0.6386,0.6286,0.246,0.9437,0.6609,0.6088,0.1921,0.9267,0.6276
2026-02-06 00:00:00,2026-02-05,14.0,0.7234,0.2694,0.9376,0.7312,0.7305,0.2841,0.9562,0.7219,0.6896,0.2055,0.9411,0.7165
2026-02-06 01:00:00,2026-02-05,15.0,0.7348,0.2037,0.9019,0.6824,0.7305,0.2128,0.9239,0.6817,0.6704,0.1868,0.8849,0.6721
2026-02-06 02:00:00,2026-02-05,16.0,0.5654,0.1576,0.8656,0.6233,0.6112,0.1773,0.9085,0.6253,0.5674,0.1634,0.8552,0.6075
2026-02-06 03:00:00,2026-02-05,17.0,0.4275,0.0559,0.822,0.4329,0.4628,0.126,0.8322,0.4686,0.3768,0.065,0.7746,0.4458
2026-02-06 04:00:00,2026-02-05,18.0,0.2835,0.0255,0.7127,0.3364,0.2663,0.0296,0.7565,0.3579,0.2431,0.0236,0.7197,0.334
2026-02-06 05:00:00,2026-02-05,19.0,0.2215,0.0,0.4288,0.2121,0.2081,0.0028,0.4608,0.2306,0.1526,0.0001,0.3928,0.2138
2026-02-06 06:00:00,2026-02-05,20.0,0.097,0.0,0.3919,0.1523,0.0906,0.0,0.4106,0.1586,0.0811,0.0,0.4313,0.1557
2026-02-06 07:00:00,2026-02-05,21.0,0.083,0.0,0.4637,0.1719,0.103,0.0011,0.4679,0.214,0.0724,0.0,0.5009,0.1745
2026-02-06 08:00:00,2026-02-05,22.0,0.1205,0.0,0.3635,0.161,0.1258,0.0005,0.4242,0.2032,0.102,0.0,0.3904,0.1627
2026-02-06 09:00:00,2026-02-05,23.0,0.1219,0.0,0.4092,0.1907,0.1564,0.0,0.4398,0.2115,0.128,0.0,0.4862,0.1859
2026-02-06 10:00:00,2026-02-05,24.0,0.1487,0.0,0.458,0.2346,0.1676,0.0,0.4948,0.2338,0.1848,0.0,0.4984,0.2105
2026-02-06 11:00:00,2026-02-05,25.0,0.3487,0.032,0.8485,0.424,0.2938,0.0326,0.8207,0.4005,0.3429,0.0317,0.8489,0.4122
2026-02-06 12:00:00,2026-02-05,26.0,0.8067,0.205,1.0,0.7204,0.7269,0.213,0.9734,0.693,0.8311,0.1996,0.9723,0.7129
2026-02-06 13:00:00,2026-02-05,27.0,0.9393,0.4599,0.9943,0.8314,0.8814,0.4425,1.0,0.8208,0.9178,0.5353,0.9958,0.8267
2026-02-06 14:00:00,2026-02-05,28.0,0.9611,0.701,1.0,0.9076,0.9589,0.6579,0.9984,0.9058,0.9643,0.7888,0.9894,0.9233
2026-02-06 15:00:00,2026-02-05,29.0,0.9825,0.8282,1.0,0.9422,0.9861,0.8453,1.0,0.9447,0.9733,0.8379,0.9896,0.9431
2026-02-06 16:00:00,2026-02-05,30.0,0.9775,0.8119,0.9992,0.9495,0.9857,0.8548,1.0,0.9571,0.9739,0.8688,0.9878,0.9477
2026-02-06 17:00:00,2026-02-05,31.0,0.9823,0.9139,1.0,0.954,0.9896,0.948,1.0,0.9608,0.9757,0.9222,0.9888,0.9493
2026-02-06 18:00:00,2026-02-05,32.0,0.9835,0.9595,1.0,0.9604,0.9895,0.9684,1.0,0.975,0.9777,0.9467,0.9906,0.9596
2026-02-06 19:00:00,2026-02-05,33.0,0.9807,0.9564,1.0,0.9536,0.9894,0.9692,1.0,0.9726,0.9769,0.9455,0.992,0.9523
2026-02-06 20:00:00,2026-02-05,34.0,0.9824,0.9465,1.0,0.9565,0.9883,0.9636,1.0,0.9779,0.9748,0.9288,0.9917,0.9543
2026-02-06 21:00:00,2026-02-05,35.0,0.9823,0.9588,1.0,0.9567,0.9883,0.9619,1.0,0.9821,0.9755,0.9403,0.9911,0.9541
2026-02-06 22:00:00,2026-02-05,36.0,0.9819,0.9513,1.0,0.955,0.9884,0.954,1.0,0.984,0.9767,0.9539,0.9897,0.9542
2026-02-06 23:00:00,2026-02-05,37.0,0.9832,0.8937,1.0,0.9363,0.9871,0.9015,1.0,0.9584,0.9783,0.8184,0.9921,0.9324
2026-02-07 00:00:00,2026-02-06,14.0,0.8783,0.4054,0.9842,0.7957,0.856,0.391,0.9832,0.809,0.8621,0.3798,0.9822,0.7988
2026-02-07 01:00:00,2026-02-06,15.0,0.7676,0.2988,0.9724,0.6915,0.7144,0.278,0.9641,0.7159,0.7193,0.2765,0.9751,0.6932
2026-02-07 02:00:00,2026-02-06,16.0,0.6949,0.193,0.9262,0.636,0.6545,0.18,0.9361,0.665,0.6688,0.2009,0.938,0.6281
2026-02-07 03:00:00,2026-02-06,17.0,0.6114,0.0786,0.8646,0.5266,0.5727,0.1142,0.8719,0.5999,0.6079,0.1034,0.8779,0.5839
2026-02-07 04:00:00,2026-02-06,18.0,0.4401,0.0437,0.7682,0.4347,0.4473,0.0525,0.7596,0.4615,0.4672,0.0497,0.7666,0.458
2026-02-07 05:00:00,2026-02-06,19.0,0.369,0.0147,0.7829,0.4129,0.3088,0.0298,0.7604,0.4079,0.34,0.0266,0.7574,0.4015
2026-02-07 06:00:00,2026-02-06,20.0,0.2679,0.0101,0.5881,0.2849,0.2498,0.0134,0.6016,0.2852,0.2584,0.0165,0.6025,0.2711
2026-02-07 07:00:00,2026-02-06,21.0,0.0769,0.0,0.2307,0.0997,0.0654,0.0039,0.2428,0.0955,0.073,0.0,0.2771,0.1028
2026-02-07 08:00:00,2026-02-06,22.0,0.0349,0.0,0.1096,0.0621,0.0275,0.0,0.1418,0.0545,0.0253,0.0,0.1965,0.0617
2026-02-07 09:00:00,2026-02-06,23.0,0.025,0.0,0.1453,0.0445,0.0188,0.0,0.1249,0.043,0.021,0.0,0.1199,0.0467
2026-02-07 10:00:00,2026-02-06,24.0,0.0429,0.0,0.2869,0.087,0.0639,0.0007,0.2472,0.1226,0.0445,0.0,0.2378,0.1033
2026-02-07 11:00:00,2026-02-06,25.0,0.0991,0.0,0.4565,0.1794,0.0956,0.0004,0.4101,0.1616,0.1108,0.0,0.4049,0.157
2026-02-07 12:00:00,2026-02-06,26.0,0.193,0.0,0.6049,0.3203,0.1897,0.0156,0.5926,0.2689,0.2005,0.0061,0.6353,0.2842
2026-02-07 13:00:00,2026-02-06,27.0,0.2392,0.0065,0.7007,0.3574,0.2519,0.0098,0.6441,0.3228,0.256,0.0085,0.7258,0.3488
2026-02-07 14:00:00,2026-02-06,28.0,0.2851,0.0145,0.6434,0.3916,0.2565,0.0203,0.5928,0.375,0.2853,0.0116,0.6983,0.3759
2026-02-07 15:00:00,2026-02-06,29.0,0.2103,0.0028,0.6151,0.2926,0.1959,0.0089,0.5245,0.2829,0.2009,0.0027,0.5699,0.2793
2026-02-07 16:00:00,2026-02-06,30.0,0.1698,0.0,0.4823,0.1972,0.1777,0.0,0.4604,0.205,0.1671,0.0,0.5224,0.2028
2026-02-07 17:00:00,2026-02-06,31.0,0.0949,0.0,0.3171,0.1508,0.0739,0.0013,0.3012,0.1589,0.0789,0.0,0.326,0.1662
2026-02-07 18:00:00,2026-02-06,32.0,0.0799,0.0,0.4445,0.1927,0.083,0.0025,0.4682,0.161,0.0795,0.0,0.472,0.1736
2026-02-07 19:00:00,2026-02-06,33.0,0.3123,0.0023,0.6896,0.3733,0.2673,0.0141,0.7148,0.4109,0.2848,0.019,0.686,0.3888
2026-02-07 20:00:00,2026-02-06,34.0,0.4569,0.0445,0.9028,0.5557,0.4464,0.0745,0.8864,0.565,0.496,0.0593,0.8598,0.5485
2026-02-07 21:00:00,2026-02-06,35.0,0.6042,0.0831,0.9202,0.6041,0.6085,0.0927,0.9317,0.5565,0.6143,0.0812,0.8928,0.6003
2026-02-07 22:00:00,2026-02-06,36.0,0.7186,0.2025,0.9647,0.6987,0.7094,0.1905,0.9851,0.6809,0.7389,0.2027,0.9501,0.6883
2026-02-07 23:00:00,2026-02-06,37.0,0.7845,0.2522,0.9953,0.7231,0.7792,0.2268,0.9961,0.7064,0.8148,0.2383,0.9704,0.7156
2026-02-08 00:00:00,2026-02-07,14.0,0.9602,0.8225,1.0,0.9268,0.9803,0.7932,0.997,0.9475,0.971,0.8378,0.9904,0.9313
